,identifier.Id,identifier.fips,identifier.apn,identifier.attomId,lot.lotSize1,address.country,address.countrySubd,address.line1,address.line2,address.locality,address.matchCode,address.oneLine,address.postal1,address.postal2,address.postal3,location.accuracy,location.latitude,location.longitude,location.distance,location.geoId,location.geoIdV4.CO,location.geoIdV4.CS,location.geoIdV4.DB,location.geoIdV4.N2,location.geoIdV4.N4,location.geoIdV4.PL,location.geoIdV4.SB,location.geoIdV4.ZI,summary.propClass,summary.propSubType,summary.propType,summary.propertyType,summary.yearBuilt,summary.propLandUse,summary.propIndicator,building.size.universalSize,building.rooms.bathsTotal,building.rooms.beds,vintage.lastModified,vintage.pubDate,avm.eventDate,avm.amount.scr,avm.amount.value,avm.amount.high,avm.amount.low,avm.amount.valueRange,avm.calculations.perSizeUnit,avm.calculations.ratioTaxAmt,avm.calculations.ratioTaxValue,avm.calculations.rangePctOfValue,homeEquity.LTV,homeEquity.estimatedAvailableEquity,homeEquity.estimatedLendableEquity,homeEquity.firstAmortizedLoanAmount,homeEquity.secondAmortizedLoanAmount,homeEquity.thirdAmortizedLoanAmount,homeEquity.totalEstimatedLoanBalance,homeEquity.recordLastUpdated,location.geoIdV4.N1
41,33783014,53033,640350-0300,33783014,0.1862029,US,WA,4314 NE 6TH PL,"RENTON, WA 98059",RENTON,ExaStr,"4314 NE 6TH PL, RENTON, WA 98059",98059,4741,C071,Rooftop,47.493816,-122.161143,0.0,"CO53033, CS5392931, DB5307230, ND0004859608, PL5357745, RS0000353967, SB0000128450, SB0000138410, SB0000154457, SB0000154509, ZI98059",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,51a9844f395a1a2e1faf4b75fd293e19,4abd60856aafe19d9be3471b882765a1,2ac03c57b22fb55fe7af54ef9f4f391b,5da39ed03f72fb36366a1c3eb7a2156f,"41190cddafdbbb68e81bd2f7c8dd8b1d,d7c5d2287a6b174fd7b3a2bc5f4f6e4c,d1a09f8f30894d97f592530b850e5502",84da147a9fb7cb38cd7c77e405b84112,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1996,SFR,10,2100,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,876018,893538,858497,17520.0,417.0,106.08,1.0,4.0,38,0,0,249830,0,0,249830,2023-06-16,
42,185574710,53033,872840-0005,185574710,0.1078972,US,WA,2640 NW 56TH ST,"SEATTLE, WA 98107",SEATTLE,ExaStr,"2640 NW 56TH ST, SEATTLE, WA 98107",98107,4131,C041,Rooftop,47.669681,-122.391950,0.0,"CO53033, CS5392928, DB5307710, ND0000498392, ND0000498462, PL5363000, SB0000128503, SB0000128508, SB0000128564, ZI98107",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,4ec013b9f2ff05fdcf4aa6e438084f67,,2334119c0d04010c5be64976dea25ee4,"336c830e03f6ca078f81b0bfa0d29e56,66f46e7714dae10ce90ad2b890954cdc,c8ac667fb343155184e4591713b461af",f024d6d4fcca46cf2e6acc3ef129d247,Condominium (residential),Residential,CONDOMINIUM,CONDOMINIUM,1981,CONDOMINIUM,11,0,,,2023-04-25,2023-04-25,2023-08-18,90,1028000,1106000,933100,78000.0,,71.79,0.0,16.82,0,0,0,0,0,0,0,2021-08-06,38649453bb3c784b85ab0d0882a2dd58
43,18136572,53033,232605-9099,18136572,0.9870983,US,WA,15712 NE 136TH PL,"REDMOND, WA 98052",REDMOND,ExaStr,"15712 NE 136TH PL, REDMOND, WA 98052",98052,2054,C036,Rooftop,47.723302,-122.130738,0.0,"CO53033, CS5392931, DB5305910, PL5314940, SB0000128262, SB0000128263, SB0000128269, ZI98052",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,bceedd4f37fdd5c95df8c3cb42854b18,,,03de7e8526d9c4625eb63f43dcce1037,"820b7e45cfd1ea82880b36df2236679c,80fed13c78a9d3d44fa90c5017fa6b91,624ce8099cc0c67b72e6ac1929f40063",47f00eae83fe3ec4009cc95b52113a76,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2001,SFR,10,3310,4.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,1720941,1738150,1703731,17209.0,519.0,112.76,1.0,2.0,82,0,0,1453119,0,0,1453119,2023-06-16,
44,185989360,53033,556100-0920,185989360,0.8557622,US,WA,26429 SE 154TH PL,"ISSAQUAH, WA 98027",ISSAQUAH,ExaStr,"26429 SE 154TH PL, ISSAQUAH, WA 98027",98027,8242,R006,Rooftop,47.463368,-121.987306,0.0,"CO53033, CS5391392, DB5303750, ND0004716043, PL5346215, SB0000127901, SB0000127902, SB0000127903, ZI98027",5ee7d0cd1877f3a877c2aebc11f8c2fb,21a430870c049c2277de7a05da507943,65c22916cea02d35add4b0f66af5b4c4,3c3a46900553f98221c488b5e3e9afff,,72905ed2aae57063bd61be428a589a5f,"a4245f21f72ff57ed6ed70d9e256e570,4e4d90bbcb6e86c5f5901499ce232735",25f3c2ccac54e83565ae83be981aa7d3,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2000,SFR,10,2710,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,1297877,1310855,1284898,12978.0,478.0,117.28,1.0,2.0,39,0,0,423037,0,0,423037,2023-06-16,
45,185551638,53033,752541-0190,185551638,0.8080808,US,WA,3923 229TH PL SE,"SAMMAMISH, WA 98075",SAMMAMISH,ExaStr,"3923 229TH PL SE, SAMMAMISH, WA 98075",98075,9210,R020,Rooftop,47.574618,-122.034539,0.0,"CO53033, CS5391392, DB5303750, PL5361115, RS0000383828, SB0000127904, SB0000127905, SB0000127912, ZI98075",5ee7d0cd1877f3a877c2aebc11f8c2fb,21a430870c049c2277de7a05da507943,65c22916cea02d35add4b0f66af5b4c4,,938ad007be62fb50e12277cb1d62d13c,50f053084afb526ebee9d816c1baf486,"c6800bf789203da6a92c2f0ee919cc39,1d6515aa8be34ef7fc5aed1286858583",4ef9fa905f58f2d228aaccdcd9776ea8,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1979,SFR,10,2910,2.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,1441228,1470052,1412403,28824.0,495.0,119.45,0.0,4.0,32,0,0,388063,0,0,388063,2023-06-16,
46,185368556,53033,186890-2920,185368556,0.0860882,US,WA,6222 30TH AVE NE,"SEATTLE, WA 98115",SEATTLE,ExaStr,"6222 30TH AVE NE, SEATTLE, WA 98115",98115,7208,C041,Rooftop,47.674657,-122.295047,0.0,"CO53033, CS5392928, DB5307710, ND0000283547, ND0004780733, PL5363000, RS0004882255, SB0000128511, SB0000128518, SB0000128551, ZI98115",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,888e2a49fb7c745cd1b1ab2fde163342,83ecaceceebb659df2275fac752143b9,2334119c0d04010c5be64976dea25ee4,"72a9ed295a1134ca2be9d832cc919c96,6ce3133430b4f45cb76598f312adf9f6,5ed9a5f96b9e9f7f6df6af8fd50cdfab",97f24138c1b1b2aa50120af8c83a6fdf,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1907,SFR,10,1825,3.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,1047033,1067973,1026092,20940.0,573.0,128.44,1.0,4.0,82,0,0,733284,0,0,733284,2023-06-16,84a24f74ac41f53a9439af588bef7ab5
47,186007879,53033,152507-9056,186007879,0.5303719,US,WA,32418 NE 50TH ST,"CARNATION, WA 98014",CARNATION,ExaStr,"32418 NE 50TH ST, CARNATION, WA 98014",98014,6331,,Rooftop,47.651781,-121.906088,0.0,"CO53033, CS5393078, DB5304560, PL5310215, SB0000128478, SB0000128480, SB0000128481, ZI98014",5ee7d0cd1877f3a877c2aebc11f8c2fb,05f8dff05ce3663d66b7b364178c885e,ecb8459bdd9577bb2f4e3e78285c8b4c,,,deea0f20cc76df548d835d91b1dd6e65,"f91a7c94bcc516bc9258b4812db2d850,4565396c7e09cdee158eeec5573d69b6,9b7387bc2421d81ca991c1e13f63b3bf",10ea4f8bde1acd9650f9b25e48bf7dc7,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1968,SFR,10,1800,2.0,3.0,2023-04-07,2023-04-07,2023-08-22,99,803397,811430,795363,8033.0,446.0,117.2,0.0,2.0,53,0,0,415180,0,0,415180,2023-06-16,
48,185001373,53033,173732-0120,185001373,0.2216483,US,WA,19334 89TH AVE NE,"BOTHELL, WA 98011",BOTHELL,ExaStr,"19334 89TH AVE NE, BOTHELL, WA 98011",98011,2202,C055,Rooftop,47.769778,-122.222143,0.0,"CO53033, CS5392931, DB5305910, ND0000206529, PL5307380, RS0004796308, SB0000128243, SB0000128245, SB0000128258, ZI98011",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,bceedd4f37fdd5c95df8c3cb42854b18,179becef1778e9aa8aedbbc8e170896c,758c07d71de53aabcf981d74c6997e5f,ec7b9704fd7c2bdebb1e74f7345c37ac,"30670b300fab079d19765f38357f8feb,6d8a2a24b1489b8c3a3276f0bbdfdf4e,d99222d27823ed6c21fad5d80db7981f",33ae696276a128695e3d5e49a2cdeaf1,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1976,SFR,10,2210,3.0,5.0,2023-04-07,2023-04-07,2023-08-22,99,1023347,1033580,1013113,10233.0,463.0,120.21,1.0,2.0,37,0,0,273382,0,0,273382,2023-06-16,
49,185455579,53033,220150-1015,185455579,0.2295684,US,WA,4071 156TH AVE SE,"BELLEVUE, WA 98006",BELLEVUE,ExaStr,"4071 156TH AVE SE, BELLEVUE, WA 98006",98006,1761,C086,Rooftop,47.572523,-122.133134,0.0,"CO53033, CS5392931, DB5300390, ND0005023403, PL5305210, SB0000127403, SB0000127410, SB0000127418, ZI98006",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,1fa0fc62fd122b1f4ca1b52684a818f3,fb1bcb41772f3fe04e46a401d66f157e,,335750a26cbaf7ab8f0f82d5d67d925a,"0c7e494d16b9b1c09327ead2682923e8,6b1d73a6e5d7c5d5a174f1983db78112,9f61d049da3812aeb0fb631d2a9c2e8d",97c8add51f3197dd646593f78cba9ce4,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1954,SFR,10,1920,2.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,1208539,1232709,1184368,24170.0,629.0,147.92,1.0,4.0,46,0,0,250381,219715,0,470096,2023-06-16,
50,185013021,53033,242360-0100,185013021,2.88,US,WA,36850 204TH AVE SE,"AUBURN, WA 98092",AUBURN,ExaStr,"36850 204TH AVE SE, AUBURN, WA 98092",98092,9010,R003,Rooftop,47.270457,-122.069415,0.0,"CO53033, CS5391056, DB5300001, ND0004853719, RS0000233665, SB0000127703, SB0000127705, SB0000127708, SB0000154391, ZI98092",5ee7d0cd1877f3a877c2aebc11f8c2fb,89847a1284573d48de0b921af3093dc6,bc42efb020824c9c32d9efbf29185d9c,e4b53474957928dc57434882f97181b0,f2b20a46b90c53bc44dfdb21719b09fb,,"0a53bb0521e794eb783120cc8561f9aa,182a5a782d4dfd2faa0bfc6a10aeb980,9e8b695e7561da40cd756777394d2787",94a9bd0fa93f4be871eabb3718231231,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1968,SFR,10,2190,2.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,1129451,1152040,1106861,22589.0,515.0,106.27,1.0,4.0,42,0,0,409104,0,0,409104,2023-06-16,
51,13189306,53033,785322-0390,13189306,0.2753673,US,WA,7425 SNOWBERRY AVE SE,"SNOQUALMIE, WA 98065",SNOQUALMIE,ExaStr,"7425 SNOWBERRY AVE SE, SNOQUALMIE, WA 98065",98065,8979,R104,Rooftop,47.533710,-121.859808,0.0,"CO53033, CS5393078, DB5308040, ND0000239692, PL5365205, SB0000128624, SB0000128626, SB0000154487, ZI98065",5ee7d0cd1877f3a877c2aebc11f8c2fb,05f8dff05ce3663d66b7b364178c885e,25e2d4e7442d80263065fece7ac5d968,67675a05eaebc8f2b49673f51170982d,,a80a53bafeb297b85202e503049d28e7,"dc942f638640b6ed92464c74ff62b618,91792c72b865612aa8e0bf184afa5766,80fd416138ff2f450f2be10394700dcb",195d2dfb2d62611d0e8ae2fe25b40727,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2006,SFR,10,3660,4.0,5.0,2023-04-07,2023-04-07,2023-08-22,98,1832751,1869406,1796095,36655.0,500.0,119.59,1.0,4.0,86,0,0,1391141,0,0,1391141,2023-06-16,
52,185880394,53033,277110-2144,185880394,0.0304637,US,WA,3400 21ST AVE W,"SEATTLE, WA 98199",SEATTLE,ExaStr,"3400 21ST AVE W, SEATTLE, WA 98199",98199,2305,C086,Rooftop,47.650621,-122.383004,0.0,"CO53033, CS5392928, DB5307710, ND0000498397, ND0000499229, PL5363000, SB0000128508, SB0000128541, SB0000154485, ZI98199",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,16446657642b6732d4e1bc8b90fd91a2,,2334119c0d04010c5be64976dea25ee4,"336c830e03f6ca078f81b0bfa0d29e56,95d6613ba3f92af05ee852168a6fa7c6",29a7430cfd53ec570ad67df3cb33fb80,Single Family Residence / Townhouse,Residential,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,2008,TOWNHOUSE/ROWHOUSE,10,1320,4.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,805744,821858,789629,16114.0,610.0,131.63,1.0,4.0,61,0,0,489381,0,0,489381,2023-06-16,4b2cb577c5da062e37f4fd88293cd2d7
53,206306194,53033,785336-1390,206306194,0.109045,US,WA,35229 SE TERRACE ST,"SNOQUALMIE, WA 98065",SNOQUALMIE,ExaStr,"35229 SE TERRACE ST, SNOQUALMIE, WA 98065",98065,5041,R102,Rooftop,47.514992,-121.869885,0.0,"CO53033, CS5393078, DB5308040, ND0000239692, PL5365205, RS0004844330, SB0000128624, SB0000128628, SB0000154555, ZI98065",5ee7d0cd1877f3a877c2aebc11f8c2fb,05f8dff05ce3663d66b7b364178c885e,25e2d4e7442d80263065fece7ac5d968,67675a05eaebc8f2b49673f51170982d,3545646f4a622e9e9061a28d4e155508,a80a53bafeb297b85202e503049d28e7,"dc942f638640b6ed92464c74ff62b618,ec92f42e20b41de14e90890d46de4002",195d2dfb2d62611d0e8ae2fe25b40727,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2011,SFR,10,2200,3.0,3.0,2023-04-07,2023-04-07,2023-08-22,99,1084790,1095637,1073942,10847.0,493.0,111.04,0.0,2.0,16,0,0,156727,0,0,156727,2023-06-16,
54,216261856,53033,766620-2451,216261856,0.0440771,US,WA,,"SEATTLE, WA 98101",SEATTLE,ExaStr,", SEATTLE, WA 98101",98101,,C036,Rooftop,47.606335,-122.340108,0.0,"CO53033, CS5392928, DB5307710, ND0004780732, ND0004781343, PL5363000, SB0000128537, SB0000128572, SB0000154530, ZI98101",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,d30b523e6c9d0a93351eeedc8fac624d,,2334119c0d04010c5be64976dea25ee4,"537c99e10471d732697ec09a410eb857,a4bd749eee963f00fba5723c4838f90c",3c764785555d4e66e8775de8f369b3b9,Apartment,Residential,APARTMENT,APARTMENTS (GENERIC),0,APARTMENT,22,0,,,2023-04-25,2023-04-25,,0,0,0,0,,,,,,0,0,0,4913504,0,0,4913504,2023-06-16,5e729da7b98fa3e798852e413c5f3f51
55,185285157,53033,012305-9127,185285157,1.24,US,WA,9927 174TH AVE SE,"RENTON, WA 98059",RENTON,ExaStr,"9927 174TH AVE SE, RENTON, WA 98059",98059,5317,C047,Rooftop,47.513209,-122.109951,0.0,"CO53033, CS5392931, DB5303750, ND0004856688, SB0000127901, SB0000127914, SB0000155267, ZI98059",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,65c22916cea02d35add4b0f66af5b4c4,1bf978db22f83159c463aaa145cf1349,,,"b3f444b2ba47cfdb81bd410f47a45fdd,d63c66d02cb23ce546360ed979798275,4e4d90bbcb6e86c5f5901499ce232735",84da147a9fb7cb38cd7c77e405b84112,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2007,SFR,10,2730,4.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,1188848,1212624,1165071,23776.0,435.0,107.3,0.0,4.0,44,0,0,536642,0,0,536642,2023-06-16,
56,141904854,53033,383205-0460,141904854,0.1101928,US,WA,29734 215TH TER SE,"KENT, WA 98042",KENT,ExaStr,"29734 215TH TER SE, KENT, WA 98042",98042,6851,R012,Rooftop,47.335861,-122.054893,0.0,"CO53033, CS5391056, DB5303960, ND0004790821, PL5337567, RS0000360081, SB0000127971, SB0000127973, SB0000127985, ZI98042",5ee7d0cd1877f3a877c2aebc11f8c2fb,89847a1284573d48de0b921af3093dc6,d18e254f3d9e8acaf1e902e0e18caf9d,a43c8589fbb7523e2bcb3210f0b7d161,f9a2845805b4e786a2563366b8e1312d,65a8f415c81f8a35333943dc606b2f20,"16851cf6ceb7629bf9070dea9ad14f8a,49e6a2ebfe7705071d30f86538922135,0b0e9ee09b105c4cce5e8c1f677e2b12",ae79926945d8daf28f516d66d14cee86,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2006,SFR,10,2490,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,631534,637849,625218,6315.0,253.0,92.1,1.0,2.0,67,0,0,415517,0,0,415517,2023-06-16,
57,217059766,53033,770818-0050,217059766,0.2238751,US,WA,5608 NE 5TH CIR,"RENTON, WA 98059",RENTON,ExaStr,"5608 NE 5TH CIR, RENTON, WA 98059",98059,8629,C078,Rooftop,47.490944,-122.143946,0.0,"CO53033, CS5392931, DB5303750, ND0004859608, PL5357745, RS0004878539, SB0000127896, SB0000127901, SB0000127903, ZI98059",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,65c22916cea02d35add4b0f66af5b4c4,4abd60856aafe19d9be3471b882765a1,f12ea09f75d9cc1552bbbc17853f2457,5da39ed03f72fb36366a1c3eb7a2156f,"4e4d90bbcb6e86c5f5901499ce232735,5ab6b7104da90a81d0b304bbe1cb8ccd",84da147a9fb7cb38cd7c77e405b84112,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2012,SFR,10,3030,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,99,1235905,1248264,1223545,12359.0,407.0,117.23,1.0,2.0,33,1092141,873712,331540,0,0,331540,2022-07-09,
58,34905785,53033,813270-0150,34905785,0.1147842,US,WA,8053 29TH AVE NW,"SEATTLE, WA 98117",SEATTLE,ExaStr,"8053 29TH AVE NW, SEATTLE, WA 98117",98117,4661,C075,Rooftop,47.688326,-122.394786,0.0,"CO53033, CS5392928, DB5307710, ND0000498405, ND0000498462, PL5363000, RS0000499518, SB0000128508, SB0000128538, SB0000128564, ZI98117",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,a1642fd01b67fbf43513c728f6919baa,9ee4635e243fa7273f937a4e1c9ea135,2334119c0d04010c5be64976dea25ee4,"336c830e03f6ca078f81b0bfa0d29e56,38963a7715b8758170ba22b9e14d9b38,c8ac667fb343155184e4591713b461af",d5b67feb5ce99270abab666ccf63fde0,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1944,SFR,10,1560,2.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,1040348,1061154,1019541,20806.0,666.0,128.29,1.0,4.0,45,0,0,361429,0,0,361429,2023-06-16,38649453bb3c784b85ab0d0882a2dd58
59,1371554,53033,152306-9197,1371554,0.3226354,US,WA,13256 242ND PL SE,"ISSAQUAH, WA 98027",ISSAQUAH,ExaStr,"13256 242ND PL SE, ISSAQUAH, WA 98027",98027,8300,R025,Rooftop,47.482071,-122.016684,0.0,"CO53033, CS5391392, DB5303750, SB0000127901, SB0000127902, SB0000127903, ZI98027",5ee7d0cd1877f3a877c2aebc11f8c2fb,21a430870c049c2277de7a05da507943,65c22916cea02d35add4b0f66af5b4c4,,,,"a4245f21f72ff57ed6ed70d9e256e570,4e4d90bbcb6e86c5f5901499ce232735",25f3c2ccac54e83565ae83be981aa7d3,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1986,SFR,10,1650,3.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,898847,916823,880870,17976.0,544.0,118.09,1.0,4.0,67,0,0,599760,0,0,599760,2023-06-16,
60,41602725,53033,947470-0030,41602725,0.230877,US,WA,7528 N FORK RD SE,"SNOQUALMIE, WA 98065",SNOQUALMIE,ExaStr,"7528 N FORK RD SE, SNOQUALMIE, WA 98065",98065,9449,R104,Rooftop,47.532523,-121.762925,0.0,"CO53033, CS5393078, DB5308040, ND0004856418, RS0000233062, SB0000128624, SB0000128626, SB0000154487, ZI98065",5ee7d0cd1877f3a877c2aebc11f8c2fb,05f8dff05ce3663d66b7b364178c885e,25e2d4e7442d80263065fece7ac5d968,707ef39717993e3d7df6ebeed18c434d,673dac7c86f389dc305f7f060dac4642,,"dc942f638640b6ed92464c74ff62b618,91792c72b865612aa8e0bf184afa5766,80fd416138ff2f450f2be10394700dcb",195d2dfb2d62611d0e8ae2fe25b40727,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1973,SFR,10,1680,1.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,674321,687807,660834,13486.0,401.0,96.27,0.0,4.0,44,0,0,287195,0,0,287195,2023-06-16,
61,185802581,53033,868225-0070,185802581,0.168618,US,WA,13134 234TH CT NE,"REDMOND, WA 98053",REDMOND,ExaStr,"13134 234TH CT NE, REDMOND, WA 98053",98053,5640,C066,Rooftop,47.716935,-122.026167,0.0,"CO53033, CS5392931, DB5304560, ND0004855584, PL5373307, SB0000128479, SB0000128480, SB0000128481, ZI98053",5ee7d0cd1877f3a877c2aebc11f8c2fb,50c4b457864cd4b4e996d5dc01b4fc85,ecb8459bdd9577bb2f4e3e78285c8b4c,81d2207e19a8acf24f2752b7400ceb2b,,4b9ca0865b86e76f90fc86be89e291e4,"f91a7c94bcc516bc9258b4812db2d850,4565396c7e09cdee158eeec5573d69b6,9aaf6886dc5c14fed80963f07fafd110",2fbac3fdd4961cd58f34800dd0ca265c,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2004,SFR,10,2315,3.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,1323929,1350407,1297450,26478.0,571.0,117.76,1.0,4.0,0,0,0,0,0,0,0,2021-07-30,
62,24723149,53033,259183-0120,24723149,0.1687328,US,WA,13420 SE 182ND ST,"RENTON, WA 98058",RENTON,ExaStr,"13420 SE 182ND ST, RENTON, WA 98058",98058,6862,C025,Rooftop,47.439528,-122.160901,0.0,"CO53033, CS5392928, DB5303960, ND0004662546, PL5323160, RS0000406226, SB0000127958, SB0000127980, SB0000127983, ZI98058",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,d18e254f3d9e8acaf1e902e0e18caf9d,453b8a81501dbfc30a944cc0b37745f9,dfb013b834ddb159ba12e43aeddcf60f,294827f93ed55d4df6fa2308a3a9f1db,"c4482bc1d8dcf389b3f15ba64cc81e39,92289f5c0d84665825fe046cfd7f6800,8df32162ee29495189778e60f7699266",dc239b8904aaddbc37c05291a68da7e2,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1988,SFR,10,2100,3.0,4.0,2023-04-07,2023-04-07,2023-08-22,98,749098,764079,734116,14981.0,356.0,100.21,1.0,4.0,59,0,0,420743,24801,0,445544,2023-06-16,
63,35353884,53033,982920-1058,35353884,0.1636823,US,WA,151 EUCLID AVE,"SEATTLE, WA 98122",SEATTLE,ExaStr,"151 EUCLID AVE, SEATTLE, WA 98122",98122,6525,C061,Rooftop,47.602928,-122.289005,0.0,"CO53033, CS5392928, DB5307710, ND0000205391, ND0004818948, PL5363000, SB0000128536, SB0000128572, SB0000154530, ZI98122",5ee7d0cd1877f3a877c2aebc11f8c2fb,4970292b3b10ee79d01df26bfa1db532,98873a44ab19bc44db1ac29ee8bea1aa,a26d38742250897137e2a19afceaf608,,2334119c0d04010c5be64976dea25ee4,"27ce0ad48454334b25812c194f49477b,537c99e10471d732697ec09a410eb857",d54692dc2f36aab1ecf2d4bd01db7975,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1980,SFR,10,2850,3.0,3.0,2023-04-07,2023-04-07,2023-08-22,98,2078960,2120539,2037380,41579.0,729.0,128.65,1.0,4.0,43,0,0,844471,0,0,844471,2023-06-16,ab50c23fb886fc449ad3887b97b8dc40
